repo_name,stars,forks,issues,license_type,num_files,num_python_files
TencentARC/GFPGAN,14572,2541,206,Permissive,46,26
d8ahazard/sd_dreambooth_extension,1646,309,745,no license file was found,83,47
noDRM/DeDRM_tools,4422,215,294,no license file was found,97,66
liucongg/ChatGLM-Finetuning,1787,176,106,no license file was found,30,17
charlesbel/Microsoft-Rewards-Farmer,816,183,240,Permissive,22,15
li-plus/chatglm.cpp,1688,239,125,Permissive,35,13
iMerica/dj-rest-auth,577,132,115,Permissive,77,30
MilesCranmer/PySR,927,111,106,Permissive,80,31
clovaai/donut,4457,373,249,Permissive,29,19
THUDM/VisualGLM-6B,3478,344,291,Permissive,22,13
SergeyPirogov/webdriver_manager,1123,158,193,Permissive,49,41
continue-revolution/sd-webui-animatediff,1659,150,232,no license file was found,19,14
HFrost0/bilix,1137,126,111,Permissive,94,65
CorentinJ/Real-Time-Voice-Cloning,15347,2178,180,Permissive,62,56
openatx/uiautomator2,1419,257,103,Permissive,80,49
pyenv-win/pyenv-win,1825,183,108,Permissive,67,18
jacobgil/pytorch-grad-cam,4059,529,171,Permissive,41,36
devicons/devicon,3399,1928,400,Permissive,48,14
salesforce/BLIP,3059,444,122,Permissive,44,28
qwopqwop200/GPTQ-for-LLaMa,2593,320,193,Permissive,21,18
microsoft/JARVIS,20959,1761,165,Permissive,79,19
salesforce/CodeT5,1918,274,105,Permissive,47,30
encode/httpx,3074,249,116,Permissive,94,56
nsarrazin/serge,3998,286,102,Permissive,61,10
TomSchimansky/CustomTkinter,8870,1099,1007,Permissive,93,85
borisdayma/dalle-mini,13469,1106,103,Permissive,39,20
sdatkinson/neural-amp-modeler,1333,115,212,Permissive,55,39
ashleve/lightning-hydra-template,1947,396,103,Permissive,70,22
huggingface/safetensors,1677,107,103,Permissive,81,38
MShawon/YouTube-Viewer,1002,490,218,Permissive,22,12
alibaba/taobao-iphone-device,758,149,128,Permissive,51,38
MetaCubeX/Clash.Meta,7593,2484,544,Permissive,26,19
instaloader/instaloader,2944,399,526,Permissive,61,22
SevaSk/ecoute,4899,662,120,Permissive,14,11
junyanz/pytorch-CycleGAN-and-pix2pix,4201,1129,169,Permissive,65,36
sherlock-project/sherlock,15320,2423,248,Permissive,31,11
raspberrypi/documentation,506,272,218,Permissive,75,12
lucidrains/imagen-pytorch,7195,734,274,Permissive,17,13
hiyouga/ChatGLM-Efficient-Tuning,3243,459,345,Permissive,91,70
THUDM/ChatGLM-6B,34687,4515,1188,Permissive,32,13
DevilXD/TwitchDropsMiner,876,123,284,no license file was found,42,14
THUDM/CogVLM,2296,103,119,Permissive,45,31
basujindal/stable-diffusion,3156,565,140,no license file was found,90,44
TheLastBen/fast-stable-diffusion,6781,1284,1746,Permissive,22,11
GuyTevet/motion-diffusion-model,2464,283,149,Permissive,96,77
turboderp/exllama,2210,216,200,Permissive,65,22
elevenlabs/elevenlabs-python,1269,144,113,Permissive,23,18
yihong0618/xiaogpt,4146,540,257,Permissive,32,25
yifeikong/curl_cffi,758,124,138,Permissive,67,42
yangjianxin1/Firefly,3013,265,163,no license file was found,43,16
jazzband/pip-tools,1458,121,173,Permissive,78,47
ungoogled-software/ungoogled-chromium,3842,202,400,Permissive,65,30
CompVis/latent-diffusion,8492,1136,251,Permissive,71,32
yihong0618/running_page,1274,687,131,Permissive,98,39
jdb78/pytorch-forecasting,1516,261,253,Permissive,81,50
QwenLM/Qwen,2118,170,293,Permissive,87,36
ranaroussi/yfinance,4005,622,388,Permissive,37,22
psf/requests,4424,1015,272,Permissive,78,34
gcorso/DiffDock,689,191,143,Permissive,36,30
FlagAlpha/Llama2-Chinese,6892,624,228,no license file was found,44,18
serengil/deepface,4808,886,360,Permissive,63,50
acheong08/EdgeGPT,7862,919,342,Permissive,37,14
Jeff-sjtu/HybrIK,688,105,134,Permissive,85,66
NVlabs/neuralangelo,3734,313,140,no license file was found,64,45
Stability-AI/stablediffusion,30723,4107,240,Permissive,75,56
IDEA-Research/DINO,900,122,108,Permissive,76,53
Nixtla/neuralforecast,1505,200,284,no license file was found,66,41
CHNZYX/Auto_Simulated_Universe,3591,171,162,Permissive,36,20
littlefs-project/littlefs,1127,203,153,Permissive,66,21
abetlen/llama-cpp-python,4136,528,559,Permissive,66,34
facefusion/facefusion,8755,944,143,no license file was found,77,70
Stability-AI/generative-models,14527,1585,115,Permissive,82,55
Dineshkarthik/telegram_media_downloader,1302,205,104,Permissive,30,12
neelnanda-io/TransformerLens,503,117,119,Permissive,82,56
jianfch/stable-ts,936,126,142,Permissive,30,29
davidteather/TikTok-Api,1950,378,141,Permissive,77,48
pre-commit/pre-commit-hooks,1619,241,119,Permissive,88,72
apprenticeharper/DeDRM_tools,2312,211,182,no license file was found,87,62
Facico/Chinese-Vicuna,3833,425,215,Permissive,74,32
lucidrains/denoising-diffusion-pytorch,5282,757,205,Permissive,18,16
Lightning-AI/lit-llama,5020,433,219,Permissive,62,47
